Stationscode;pH;Temp;Con;O_diss;N_NH;NO;SO;PO;DBO5;Classe;Stations;X;Y;Altitude en m;time_column
M7.3;7.75;15.1;939;8.85;0.021;1,27;53;0,011;1,5;1;AnzarOufounas;522710.665;203771.489;1895;
M8.3;7.49;15.4;453;7.75;0.017;1,36;53;0,029;1,35;1;Aval AnzarOufounas;523517.135;209213.863;1780;
M9.3;7.75;16.7;453;7.12;0.011;2,31;65;0,011;1,05;1;Anzegmir avant barrage;529513.51;213616.77;1702;
M10.3;7.31;25;567;7.1;0.018;2,77;54;0,019;2,15;1;Anzegmir Amont;545371.311;238557.759;1455;
M11.3;7.55;28;1030;4.92;0.039;4,95;129;1,105;7,25;4;Tamdafelt;608563.842;254198.713;985;
M12.3;6.85;28;1970;3.15;3.075;65,19;495;2,75;19,7;3;Missour;632589.028;273722.851;870;
M13.3;7.11;25,7;1945;6.17;0.177;10,57;370;1,09;9,25;4;Outat Al Haj;657696.741;304862.154;770;
M14.3;7.42;27.3;1835;6.22;0.077;7,34;345;0,31;7,9;2;Tindint;667765.779;340891.631;640;
M15.3;7.15;25.5;1695;7.27;0.127;7,55;279;1,505;8,25;5;Moulouya Amont Melloulou;688527.58;403762.245;362;
M16.3;7.97;28.6;1275;4.55;2.095;51,25;335;1,995;12,7;3;Moulouya Aval Melloulou;691373.449;406608.844;355;
M17.3;7.66;23.5;1429;6.47;0.077;12,9;430;0,095;5,95;2;Moulouya Amont Za;716153.504;442463.459;230;
M18.3;7.41;23.4;1535;6.53;0.037;15,5;315;1,095;7,95;4;Moulouya aval Za;717261.981;442636.19;222;
M19.3;7.85;22.7;1450;6.87;0.152;9,35;379;1,095;6,93;4;Sebra;750073.689;479499.227;60;
M20.3;7.75;23.5;1700;8.57;0.11;2,9;227;0,023;0,49;2;Safsaf;752451.688;481921.171;50;
M21.3;7.55;23.4;1795;7.47;0.146;9,95;49;0,805;2,95;4;Pont Hassan II;770940.249;498404.754;9;
M22.3;7.8;25.6;2240;8.38;0.021;9,93;33;0,16;3,3;1;Pré-Estuaire;774425.807;503613.795;3;
